mceliece
Computer, Cores, MHz per,Cycles to decrypt 59 bytes,Cycles to encrypt 59 bytes,Cycles to generate a key pair,Encrypting 0 bytes,Encrypting 23 bytes,Encrypting many bytes,Public key,Secret key
bigmem,32,2266,904471,63625,39830694,256,233,110,81408,137282
cryptologic,12,3325,1064545,72282,37551209,256,233,110,81408,137282
enigma,4,2399,1044558,68994,51312096,256,233,110,81408,137282
floodyberry,2,2500,1052887,80388,44112950,256,233,110,81408,137282
gcc14,8,2992,1110870,68400,41756886,256,233,110,81408,137282
gcc16,8,2194,1144110,65763,65094463,256,233,110,81408,137282
h2atom,1,1000,1474200,123870,91729740,256,233,110,81408,137282
h3atom,1,1330,1447390,157850,92332650,256,233,110,81408,137282
h3neo,1,1700,1153593,72187,44902697,256,233,110,81408,137282
h4atom,1,1330,1475296,124176,91423760,256,233,110,81408,137282
h4e350,2,1600,1182942,88305,58243800,256,233,110,81408,137282
h4e450,2,1650,1187610,89145,58615509,256,233,110,81408,137282
h5nano,1,1000,1188615,101800,54625365,256,233,110,81408,137282
h6sandy,2,2100,1203320,77748,35210660,256,233,110,81408,137282
h8atom,2,1866,1461985,122899,89793641,256,233,110,81408,137282
h8bobcat,2,1650,1187775,88965,58211871,256,233,110,81408,137282
h9ivy,2,2500,1130908,73092,33887032,256,233,110,81408,137282
h9trinity,2,2000,1124720,86863,45280392,256,233,110,81408,137282
hydra1,6,3200,1147550,72195,43348123,256,233,110,81408,137282
hydra2,4,2400,1049644,77964,37559848,256,233,110,81408,137282
hydra3,6,3300,1140386,72315,43669296,256,233,110,81408,137282
hydra4,4,2600,1116309,70567,42891521,256,233,110,81408,137282
hydra5,4,2900,1116202,70477,42857987,256,233,110,81408,137282
hydra6,4,3100,1155200,90646,46557774,256,233,110,81408,137282
hydra7,4,3100,1212916,73612,35629232,256,233,110,81408,137282
hydra8,4,3500,1130188,73424,33876380,256,233,110,81408,137282
hydra9,2,3800,1125803,86875,45218805,256,233,110,81408,137282
jos,4,2494,1058415,80700,45656093,256,233,110,81408,137282
mangetsu,4,3100,1174628,69596,34215116,256,233,110,81408,137282
morningstar,4,3200,1136341,65296,55449110,256,233,110,81408,137282
orpheus,1,448,1151536,111811,86583228,256,233,110,81408,137282
titan0,4,3500,1092536,57324,32277664,256,233,110,81408,137282
utrecht,4,2405,1042227,69039,51344388,256,233,110,81408,137282
ntruees401ep2
Computer, Cores, MHz per,Cycles to decrypt 59 bytes,Cycles to encrypt 59 bytes,Cycles to generate a key pair,Encrypting 0 bytes,Encrypting 23 bytes,Encrypting many bytes,Public key,Secret key
bigmem,32,2266,75443,63101,576680,552,529,544,557,607
cryptologic,12,3325,172312,163046,8133932,552,529,544,557,607
flops,1,720,445134,347173,18325638,552,529,544,557,607
gcc14,8,2992,215334,141219,3350016,552,529,544,557,607
gcc14,8,2992,271719,166977,3950595,552,529,544,557,607
gcc16,8,2194,180903,122764,2986434,552,529,544,557,607
h1mips,1,720,650172,585674,24895590,552,529,544,557,607
h2tegra,2,1000,2706037,1469141,48189423,552,529,544,557,607
h3neo,1,1700,134824,100231,3334293,552,529,544,557,607
h4e350,2,1600,146265,104895,2759616,552,529,544,557,607
h4mx515e,1,800,433764,353070,20994617,552,529,544,557,607
h5nano,1,1000,129670,94420,1500440,552,529,544,557,607
h6dragon,2,1782,387377,236466,3935621,552,529,544,557,607
h7beagle,1,720,444617,346509,18327832,552,529,544,557,607
h7green,1,1200,2525672698281984,1456573733928960,41023088069967872,2370821947392,2370821947369,416358424545139,557,607
h8atom,2,1866,198954,143045,1704507,552,529,544,557,607
h8bobcat,2,1650,147441,105414,2757279,552,529,544,557,607
h9trinity,2,2000,91370,77879,671997,552,529,544,557,607
hydra2,4,2400,82532,66916,663440,552,529,544,557,607
hydra3,6,3300,134551,100243,3343725,552,529,544,557,607
hydra6,4,3100,183633,191293,10328854,552,529,544,557,607
hydra7,4,3100,69232,63432,595668,552,529,544,557,607
hydra8,4,3500,63496,57120,530012,552,529,544,557,607
hydra9,2,3800,91994,77990,660363,552,529,544,557,607
morningstar,4,3200,177220,118378,2809776,552,529,544,557,607
sachr,2,1700,238523,219268,7853383,552,529,544,557,607
skylake,4,3310,45006,46540,407564,552,529,544,557,607
titan0,4,3500,51280,48948,430784,552,529,544,557,607
utrecht,4,2405,164340,161217,8299935,552,529,544,557,607
utrecht,4,2405,173340,172953,7684416,552,529,544,557,607
ntruees439ep1
Computer, Cores, MHz per,Cycles to decrypt 59 bytes,Cycles to encrypt 59 bytes,Cycles to generate a key pair,Encrypting 0 bytes,Encrypting 23 bytes,Encrypting many bytes,Public key,Secret key
auxplug,1,1200,4725594,2422962,39947292,604,581,603,609,659
bigmem,32,2266,83776,71091,655107,604,581,603,609,659
cryptologic,12,3325,194100,175097,9765018,604,581,603,609,659
cryptologic,12,3325,202351,200203,9809903,604,581,603,609,659
enigma,4,2399,181998,177633,9894708,604,581,603,609,659
flops,1,720,490751,379061,21871291,604,581,603,609,659
gcc14,8,2992,246816,156258,3864969,604,581,603,609,659
gcc14,8,2992,300573,184581,4600683,604,581,603,609,659
gcc16,8,2194,199837,134756,3536198,604,581,603,609,659
gcc16,8,2194,318055,201520,4762548,604,581,603,609,659
h1mips,1,720,728206,641264,32726148,604,581,603,609,659
h2atom,1,1000,213040,153200,1889490,604,581,603,609,659
h2atom,1,1000,407120,251240,15762670,604,581,603,609,659
h2tegra,2,1000,2966786,1615103,56395895,604,581,603,609,659
h3neo,1,1700,148138,110236,3952107,604,581,603,609,659
h3neo,1,1700,311201,189956,4377342,604,581,603,609,659
h4e350,2,1600,160260,117294,3221430,604,581,603,609,659
h4e350,2,1600,348978,219066,5663616,604,581,603,609,659
h4e450,2,1650,160764,114570,3183867,604,581,603,609,659
h4e450,2,1650,349353,219318,5660592,604,581,603,609,659
h4mx515e,1,800,476664,384334,25108118,604,581,603,609,659
h5nano,1,1000,143835,105660,1737450,604,581,603,609,659
h5nano,1,1000,302340,196675,5931995,604,581,603,609,659
h6dragon,2,1782,430896,265223,4668250,604,581,603,609,659
h7beagle,1,720,490680,379016,21880764,604,581,603,609,659
h7green,1,1200,2754113418821632,1579323899248640,48190572443205632,2594160246784,2594160246761,416611827615603,609,659
h8atom,2,1866,222684,159523,1995847,604,581,603,609,659
h8atom,2,1866,412909,253708,16105418,604,581,603,609,659
h8bobcat,2,1650,160164,117708,3219870,604,581,603,609,659
h8bobcat,2,1650,348798,219468,5662083,604,581,603,609,659
h9trinity,2,2000,99195,88125,749086,604,581,603,609,659
h9trinity,2,2000,225138,153118,3732285,604,581,603,609,659
hydra1,6,3200,177045,173806,9205659,604,581,603,609,659
hydra1,6,3200,187870,191570,9421741,604,581,603,609,659
hydra2,4,2400,91584,74892,763336,604,581,603,609,659
hydra2,4,2400,205376,139636,6297004,604,581,603,609,659
hydra3,6,3300,147995,110421,3980836,604,581,603,609,659
hydra3,6,3300,312462,188807,4413573,604,581,603,609,659
hydra4,4,2600,143520,108486,3933704,604,581,603,609,659
hydra4,4,2600,294474,182594,4260812,604,581,603,609,659
hydra5,4,2900,144586,108128,3934851,604,581,603,609,659
hydra5,4,2900,327427,198631,4722623,604,581,603,609,659
hydra6,4,3100,202715,208946,11567990,604,581,603,609,659
hydra6,4,3100,213784,229904,13028379,604,581,603,609,659
hydra7,4,3100,76740,71504,674812,604,581,603,609,659
hydra7,4,3100,163960,121364,3056192,604,581,603,609,659
hydra8,4,3500,70196,64416,596128,604,581,603,609,659
hydra8,4,3500,151484,112276,3045752,604,581,603,609,659
hydra9,2,3800,102432,87670,756813,604,581,603,609,659
hydra9,2,3800,224732,152450,3731605,604,581,603,609,659
jos,4,2494,120975,94005,958980,604,581,603,609,659
jos,4,2494,288473,182722,4287735,604,581,603,609,659
mangetsu,4,3100,75292,71124,631232,604,581,603,609,659
morningstar,4,3200,195764,131447,3321547,604,581,603,609,659
sachr,2,1700,259725,239438,9350485,604,581,603,609,659
skylake,4,3310,50272,52028,470766,604,581,603,609,659
titan0,4,3500,57008,54940,490352,604,581,603,609,659
titan0,4,3500,137932,106292,1150508,604,581,603,609,659
utrecht,4,2405,182871,176526,9902862,604,581,603,609,659
utrecht,4,2405,190593,192015,9660996,604,581,603,609,659
ntruees593ep1
Computer, Cores, MHz per,Cycles to decrypt 59 bytes,Cycles to encrypt 59 bytes,Cycles to generate a key pair,Encrypting 0 bytes,Encrypting 23 bytes,Encrypting many bytes,Public key,Secret key
auxplug,1,1200,8090184,4119318,73653246,816,793,794,821,891
bigmem,32,2266,118830,97229,1108754,816,793,794,821,891
cryptologic,12,3325,281549,244197,17694864,816,793,794,821,891
cryptologic,12,3325,297412,268003,17757988,816,793,794,821,891
enigma,4,2399,276957,233163,17896203,816,793,794,821,891
flops,1,720,784270,541583,39512522,816,793,794,821,891
gcc14,8,2992,383652,244539,6934824,816,793,794,821,891
gcc14,8,2992,479187,293544,8199630,816,793,794,821,891
gcc16,8,2194,306642,200434,6265470,816,793,794,821,891
gcc16,8,2194,508422,315823,8649639,816,793,794,821,891
h1mips,1,720,1181046,899628,53766702,816,793,794,821,891
h2atom,1,1000,316180,225660,3222150,816,793,794,821,891
h2atom,1,1000,624070,379420,28474730,816,793,794,821,891
h2tegra,2,1000,4903203,2622709,101605327,816,793,794,821,891
h3neo,1,1700,224603,165354,7062842,816,793,794,821,891
h3neo,1,1700,498882,296059,7953261,816,793,794,821,891
h4e350,2,1600,240717,168270,5769168,816,793,794,821,891
h4e350,2,1600,549648,332976,10086576,816,793,794,821,891
h4e450,2,1650,243846,168498,5773584,816,793,794,821,891
h4e450,2,1650,548046,333813,10091049,816,793,794,821,891
h4mx515e,1,800,759723,543689,45539643,816,793,794,821,891
h5nano,1,1000,214500,154005,2996910,816,793,794,821,891
h5nano,1,1000,474140,293855,15210720,816,793,794,821,891
h6dragon,2,1782,659499,396062,8175886,816,793,794,821,891
h7beagle,1,720,782896,540092,39528087,816,793,794,821,891
h7green,1,1200,4511455122554880,2563068978528256,86798067826688000,3504693313536,3504693313513,417432166369139,821,891
h8atom,2,1866,323456,230517,3050019,816,793,794,821,891
h8atom,2,1866,618702,378875,28340487,816,793,794,821,891
h8bobcat,2,1650,240378,169242,5766684,816,793,794,821,891
h8bobcat,2,1650,549348,334533,10098456,816,793,794,821,891
h9trinity,2,2000,140783,117905,1235822,816,793,794,821,891
h9trinity,2,2000,353946,228973,5904696,816,793,794,821,891
hydra1,6,3200,278733,238728,16524875,816,793,794,821,891
hydra1,6,3200,287861,256260,16925256,816,793,794,821,891
hydra2,4,2400,134492,108116,1314072,816,793,794,821,891
hydra2,4,2400,311648,203764,11352800,816,793,794,821,891
hydra3,6,3300,224188,165210,7092579,816,793,794,821,891
hydra3,6,3300,497780,296988,7985482,816,793,794,821,891
hydra4,4,2600,220732,162065,7022746,816,793,794,821,891
hydra4,4,2600,462782,283385,7721126,816,793,794,821,891
hydra5,4,2900,246220,178879,7809975,816,793,794,821,891
hydra5,4,2900,515942,309807,8540525,816,793,794,821,891
hydra6,4,3100,311151,282058,22207044,816,793,794,821,891
hydra6,4,3100,327981,305847,19359213,816,793,794,821,891
hydra7,4,3100,104752,99732,1124980,816,793,794,821,891
hydra7,4,3100,255860,179324,5362428,816,793,794,821,891
hydra8,4,3500,100108,88436,982176,816,793,794,821,891
hydra8,4,3500,237488,166752,5397824,816,793,794,821,891
hydra9,2,3800,141529,118200,1239497,816,793,794,821,891
hydra9,2,3800,356536,229314,5928044,816,793,794,821,891
jos,4,2494,171802,131633,1626285,816,793,794,821,891
jos,4,2494,445905,277163,7581968,816,793,794,821,891
mangetsu,4,3100,106504,99332,1048420,816,793,794,821,891
morningstar,4,3200,298942,194640,5903782,816,793,794,821,891
sachr,2,1700,416159,331945,16834258,816,793,794,821,891
skylake,4,3310,74956,74858,777314,816,793,794,821,891
titan0,4,3500,83516,77552,804444,816,793,794,821,891
titan0,4,3500,212440,153928,1928780,816,793,794,821,891
utrecht,4,2405,276165,233532,17919315,816,793,794,821,891
utrecht,4,2405,288765,252693,16544349,816,793,794,821,891
ntruees743ep1
Computer, Cores, MHz per,Cycles to decrypt 59 bytes,Cycles to encrypt 59 bytes,Cycles to generate a key pair,Encrypting 0 bytes,Encrypting 23 bytes,Encrypting many bytes,Public key,Secret key
auxplug,1,1200,13151364,6704244,113269746,1022,999,980,1027,1120
bigmem,32,2266,155105,122870,1609237,1022,999,980,1027,1120
cryptologic,12,3325,394415,320864,27708082,1022,999,980,1027,1120
cryptologic,12,3325,423757,346612,27765767,1022,999,980,1027,1120
enigma,4,2399,403758,314334,27917496,1022,999,980,1027,1120
flops,1,720,1221407,778334,61872927,1022,999,980,1027,1120
gcc14,8,2992,620559,361044,10968516,1022,999,980,1027,1120
gcc14,8,2992,768078,438498,12902256,1022,999,980,1027,1120
gcc16,8,2194,472862,289276,9836800,1022,999,980,1027,1120
gcc16,8,2194,809804,469453,13231464,1022,999,980,1027,1120
h1mips,1,720,1785176,1243298,92775360,1022,999,980,1027,1120
h2atom,1,1000,432240,297470,4864280,1022,999,980,1027,1120
h2atom,1,1000,940620,545000,44462770,1022,999,980,1027,1120
h2tegra,2,1000,7847447,4132989,160055424,1022,999,980,1027,1120
h3neo,1,1700,319519,222475,10948211,1022,999,980,1027,1120
h3neo,1,1700,792438,449362,12112387,1022,999,980,1027,1120
